"Näytteen päivämäärä","Puhdistamo","Puhdistamon sijainti","Puhdistamon asiakasmäärä","Koronavirus-tulos näytteestä","Epävarmuus-tekijät","Virtaama","Normalisoitu RNA-lukumäärä DNA-standardilla","Normalisoitu RNA-lukumäärä RNA-standardilla"
"2023-02-06","Lehtoniemi","Kuopio","90697","havaittu, yli määritysrajan","","15227","","24815"
"2023-02-06","Taskila","Oulu","200000","havaittu, yli määritysrajan","","45484","","64350"
"2023-02-06","Alakorkalo","Rovaniemi","55000","havaittu, yli määritysrajan","","12024","","58902"
"2023-02-06","Viinikanlahti","Tampere","200000","havaittu, yli määritysrajan","","64053","","253502"
"2023-02-06","Kakolanmäki","Turku","300000","havaittu, yli määritysrajan","","70155","","57527"
"2023-02-06","Pått","Vaasa","69500","havaittu, yli määritysrajan","","15701","","45280"
"2023-01-30","Blominmäki","Espoo","390000","havaittu, yli määritysrajan","","139331","","55514"
"2023-01-30","Viikinmäki","Helsinki","860000","havaittu, yli määritysrajan","","324756","","53243"
"2023-01-30","Kuhasalo","Joensuu","98000","havaittu, yli määritysrajan","","15691","","24188"
"2023-01-30","Nenäinniemi","Jyväskylä","154600","havaittu, yli määritysrajan","","37555","","47875"
"2023-01-30","Koko maa","Koko maa","","","","","","47792"
"2023-01-30","Lehtoniemi","Kuopio","90697","havaittu, yli määritysrajan","","15830","","17562"
"2023-01-30","Taskila","Oulu","200000","havaittu, yli määritysrajan","","47757","","37279"
"2023-01-30","Alakorkalo","Rovaniemi","55000","havaittu, yli määritysrajan","","12765","","105575"
"2023-01-30","Viinikanlahti","Tampere","200000","havaittu, yli määritysrajan","","69424","","58421"
"2023-01-30","Kakolanmäki","Turku","300000","havaittu, yli määritysrajan","","79761","","22488"
"2023-01-30","Pått","Vaasa","69500","havaittu, yli määritysrajan","","16994","","72714"
"2023-01-23","Blominmäki","Espoo","390000","havaittu, yli määritysrajan","(b)","67072","","37170"
"2023-01-23","Viikinmäki","Helsinki","860000","havaittu, yli määritysrajan","","362795","","55101"
"2023-01-23","Kuhasalo","Joensuu","98000","havaittu, yli määritysrajan","","15636","","85560"
"2023-01-23","Nenäinniemi","Jyväskylä","154600","havaittu, yli määritysrajan","","37713","","96271"
"2023-01-23","Koko maa","Koko maa","","","","","","55688"
"2023-01-23","Lehtoniemi","Kuopio","90697","havaittu, yli määritysrajan","","16275","","100770"
"2023-01-23","Toikansuo","Lappeenranta","63000","havaittu, yli määritysrajan","","12730","","30969"
"2023-01-23","Taskila","Oulu","200000","havaittu, yli määritysrajan","","45067","","70478"
"2023-01-23","Alheda","Pietarsaari","30500","havaittu, yli määritysrajan","","7243","","16198"
"2023-01-23","Alakorkalo","Rovaniemi","55000","havaittu, yli määritysrajan","","12292","","117514"
"2023-01-23","Seinäjoen keskuspuhdistamo","Seinäjoki","55000","havaittu, yli määritysrajan","","17939","","66463"
"2023-01-23","Viinikanlahti","Tampere","200000","havaittu, yli määritysrajan","","75636","","50778"
"2023-01-23","Kakolanmäki","Turku","300000","havaittu, yli määritysrajan","","100656","","19220"
"2023-01-16","Viikinmäki","Helsinki","860000","havaittu, yli määritysrajan","","595564","","42694"
"2023-01-16","Kuhasalo","Joensuu","98000","havaittu, yli määritysrajan","","17420","","80933"
"2023-01-16","Nenäinniemi","Jyväskylä","154600","havaittu, yli määritysrajan","","44811","","90822"
"2023-01-16","Koko maa","Koko maa","","","","","","65656"
"2023-01-16","Lehtoniemi","Kuopio","90697","havaittu, yli määritysrajan","","17294","","62336"
"2023-01-16","Taskila","Oulu","200000","havaittu, yli määritysrajan","","46915","","117625"
"2023-01-16","Alakorkalo","Rovaniemi","55000","havaittu, yli määritysrajan","","11617","","18371"
"2023-01-16","Viinikanlahti","Tampere","200000","havaittu, yli määritysrajan","a","107239","","45398"
"2023-01-16","Kakolanmäki","Turku","300000","havaittu, yli määritysrajan","","227236","","105711"
"2023-01-16","Pått","Vaasa","69500","havaittu, yli määritysrajan","","29627","","49883"
"2023-01-09","Viikinmäki","Helsinki","860000","havaittu, yli määritysrajan","","246703","","75830"
"2023-01-09","Kuhasalo","Joensuu","98000","havaittu, yli määritysrajan","","14027","","89370"
"2023-01-09","Nenäinniemi","Jyväskylä","154600","havaittu, yli määritysrajan","","33119","","179168"
"2023-01-09","Koko maa","Koko maa","","","","","","87350"
"2023-01-09","Lehtoniemi","Kuopio","90697","havaittu, yli määritysrajan","","14492","","81613"
"2023-01-09","Taskila","Oulu","200000","havaittu, yli määritysrajan","","40126","","58241"
"2023-01-09","Alakorkalo","Rovaniemi","55000","havaittu, yli määritysrajan","","11738","","169337"
"2023-01-09","Viinikanlahti","Tampere","200000","havaittu, yli määritysrajan","","59594","","97787"
"2023-01-09","Kakolanmäki","Turku","300000","havaittu, yli määritysrajan","","74512","","74466"
"2023-01-09","Pått","Vaasa","69500","havaittu, yli määritysrajan","","15126","","74748"
"2022-12-19","Viikinmäki","Helsinki","860000","havaittu, yli määritysrajan","","224479","","182930"
"2022-12-19","Kuhasalo","Joensuu","98000","havaittu, yli määritysrajan","","14404","","59785"
"2022-12-19","Nenäinniemi","Jyväskylä","154600","havaittu, yli määritysrajan","","32530","","416092"
